zip	numberOfStdevsFromMean
90638	-0.056639249896883404
01056	-0.11592770321461021
01057	-0.372844334258093
34229	-0.17521615653233702
02108	-0.2345046098500638
22524	-0.4024885609169564
34228	-0.3629629253718052
02109	-0.056639249896883404
10990	-0.0467578410105956
10992	-0.3629629253718052
34223	0.269447243350614
10993	-0.2443860187363516
22520	-0.3432001075992296
34224	-0.2345046098500638
10994	0.6647035988021259
34221	-0.13569052098718581
10996	-0.372844334258093
34222	-0.31355588094036624
01050	-0.3629629253718052
01054	-0.4024885609169564
01053	-0.372844334258093
90640	0.9710272742770477
34219	-0.28391165428150283
90623	-0.0368764321243078
63935	-0.29379306316779064
63933	-0.4123699698032442
34217	-0.3530815164855174
34210	0.1409889278288726
34211	-0.2147417920774882
34212	-0.26414883650892723
01040	1.1192484075713647
90631	-0.11592770321461021
90630	-0.17521615653233702
01044	-0.4123699698032442
02128	0.5362452832803846
34209	1.9690495717921157
02127	-0.13569052098718581
34207	0.2002773811465994
22503	-0.4024885609169564
34208	0.8820945943004576
02129	-0.13569052098718581
96008	-0.4123699698032442
02124	0.8524503676415942
96007	-0.2443860187363516
02126	-0.33331869871294184
22508	-0.29379306316779064
75570	-0.32343728982665404
85641	-0.372844334258093
02125	-0.224623200963776
22507	-0.3926071520306686
34201	-0.28391165428150283
85643	-0.26414883650892723
34202	0.3583799233272042
96003	-0.076402067669459
85646	-0.3926071520306686
96002	0.5856523277118236
96001	3.579719220257027
85648	-0.4024885609169564
34205	0.7338734610061406
63901	1.3465208119559842
34203	-0.13569052098718581
01077	-0.29379306316779064
90660	-0.11592770321461021
02120	0.5955337365981114
02121	-0.3926071520306686
01075	-0.026995023238020003
02122	0.022412021193419
01073	-0.3629629253718052
01072	-0.4123699698032442
75563	-0.3827257431443808
02119	-0.19497897430491262
02118	7.2753661437286645
02117	-0.4123699698032442
02116	0.269447243350614
02115	12.344528902394305
85653	-0.29379306316779064
75560	-0.4123699698032442
01068	-0.4123699698032442
02114	17.384047434401083
02113	-0.33331869871294184
01069	0.220040198919175
02112	-0.3926071520306686
85650	-0.32343728982665404
75568	-0.4024885609169564
85658	-0.372844334258093
01064	-0.4123699698032442
02110	-0.3432001075992296
02111	3.876161486845661
90650	0.318854287782053
01060	1.6232002607720426
01062	0.318854287782053
01061	-0.372844334258093
61820	0.9216202298456088
45208	-0.27403024539521503
45207	-0.32343728982665404
45209	0.2299216078054628
10950	0.1113447011700092
39629	-0.4123699698032442
10952	0.0026492034208433985
61822	0.4868382388489456
63965	-0.4024885609169564
46613	-0.3629629253718052
61821	0.1508703367151604
46614	-0.08628347655574681
46615	-0.2048603831912004
10954	0.269447243350614
46616	-0.4024885609169564
46617	1.109366998685077
10956	0.8425689587553064
45202	-0.08628347655574681
63960	-0.4024885609169564
10958	-0.4123699698032442
46619	-0.372844334258093
45203	-0.4123699698032442
45206	-0.076402067669459
45205	-0.4123699698032442
01095	-0.09616488544203461
01093	-0.3926071520306686
01098	-0.3926071520306686
01096	-0.3926071520306686
23690	-0.3530815164855174
61814	-0.4123699698032442
23692	-0.19497897430491262
23693	-0.30367447205407844
45219	7.561927001431012
45218	-0.4024885609169564
61833	-0.4024885609169564
61832	0.9512644565044721
10962	-0.17521615653233702
10960	0.6251779632569748
61834	-0.372844334258093
46628	-0.17521615653233702
45213	-0.08628347655574681
01089	1.0797227720262135
45212	0.269447243350614
10965	-0.076402067669459
45211	0.2595658344643262
10964	-0.4123699698032442
45217	-0.3827257431443808
45216	-0.125809112100898
45215	-0.076402067669459
10968	-0.3827257431443808
45214	-0.4123699698032442
01082	-0.076402067669459
01083	-0.4123699698032442
01085	0.4374311944175066
01086	-0.4123699698032442
01088	-0.29379306316779064
61826	-0.4123699698032442
39630	-0.4123699698032442
39631	-0.3827257431443808
01080	-0.4123699698032442
61802	-0.056639249896883404
61801	2.897902007103169
10974	-0.4123699698032442
46635	0.5263638743940968
10973	-0.3827257431443808
63944	-0.3926071520306686
45229	0.3386171055546286
10970	0.714110643233565
39601	0.2101587900328872
45226	-0.33331869871294184
45227	0.269447243350614
10976	-0.4123699698032442
46637	-0.30367447205407844
45221	-0.4024885609169564
45224	-0.30367447205407844
45223	-0.4024885609169564
10977	0.012530612307131199
45220	1.702251531862345
90620	-0.16533474764604922
09714	-0.4123699698032442
90621	-0.2345046098500638
63937	-0.4123699698032442
23664	-0.4123699698032442
63953	-0.4024885609169564
10984	-0.4024885609169564
23663	-0.3827257431443808
23662	-0.3432001075992296
10983	-0.3432001075992296
10982	-0.4123699698032442
23661	-0.3827257431443808
46645	-0.4123699698032442
23668	-0.4123699698032442
63957	-0.3530815164855174
10980	-0.125809112100898
23667	-0.3432001075992296
23666	2.245729020608174
23665	-0.3432001075992296
90604	-0.3629629253718052
45239	0.2496844255780384
45238	0.96114586539076
90603	0.170633154487736
45237	-0.13569052098718581
90602	0.812924732096443
23669	-0.2443860187363516
45236	1.4156906741599988
90601	-0.17521615653233702
10989	-0.28391165428150283
10988	-0.4123699698032442
10987	-0.4123699698032442
90606	0.0619376567385702
45233	-0.31355588094036624
45232	-0.4123699698032442
10986	-0.4123699698032442
90605	0.0817004745111458
45230	0.7536362787787162
45231	0.121226110056297
09705	-0.4123699698032442
61803	-0.4123699698032442
02180	1.0303157275947745
02184	0.9809086831633356
02187	-0.4123699698032442
02188	-0.15545333875976142
02186	0.318854287782053
02189	0.7338734610061406
35759	-0.3432001075992296
35758	0.7832805054375795
35757	-0.4024885609169564
39667	-0.32343728982665404
39666	-0.3827257431443808
35756	-0.3926071520306686
39669	-0.3432001075992296
35754	-0.4123699698032442
35750	-0.32343728982665404
02170	-0.33331869871294184
02171	-0.16533474764604922
02172	-0.4123699698032442
02176	0.9018574120730332
02178	-0.4123699698032442
35748	-0.3827257431443808
35747	-0.372844334258093
35749	-0.33331869871294184
35741	-0.3926071520306686
35739	-0.4024885609169564
39648	0.7832805054375795
39645	-0.3629629253718052
39653	-0.3432001075992296
39654	-0.33331869871294184
02190	1.8307098473840864
02191	-0.3827257431443808
39652	-0.3827257431443808
02199	-0.3629629253718052
02192	-0.4024885609169564
46601	1.5145047630228767
22572	-0.32343728982665404
22578	-0.4024885609169564
22576	-0.4024885609169564
02140	-0.15545333875976142
02144	0.1903959722603116
02143	0.5955337365981114
01010	-0.3926071520306686
02142	-0.33331869871294184
02141	-0.26414883650892723
90680	-0.32343728982665404
22560	0.0322934300797068
22567	-0.4024885609169564
85625	-0.4024885609169564
85623	-0.3926071520306686
85624	-0.4123699698032442
85621	-0.16533474764604922
85622	-0.3926071520306686
01013	-0.32343728982665404
02148	0.6251779632569748
02145	-0.13569052098718581
02146	-0.4123699698032442
01016	-0.4123699698032442
02149	0.4077869677586432
02131	0.0322934300797068
90670	-0.19497897430491262
02130	1.7615399851800717
02132	0.0026492034208433985
85629	-0.33331869871294184
68102	-0.26414883650892723
22556	-0.25426742762263943
68101	-0.4123699698032442
85637	-0.4123699698032442
22554	0.022412021193419
23602	0.4374311944175066
68104	-0.25426742762263943
23601	1.5639118074543157
68106	-0.09616488544203461
68105	-0.13569052098718581
22553	-0.33331869871294184
68108	-0.4024885609169564
85634	-0.3926071520306686
85635	0.96114586539076
68107	-0.17521615653233702
02134	-0.18509756541862482
23608	-0.17521615653233702
01003	-0.4024885609169564
23607	-0.28391165428150283
02135	2.285254656153325
85630	-0.4123699698032442
02136	-0.19497897430491262
01002	0.1311075189425848
85631	-0.3926071520306686
01001	-0.0467578410105956
23604	-0.33331869871294184
02138	3.1449372292603637
02139	2.146914931745296
01007	-0.18509756541862482
23606	2.4334757894476424
23605	-0.3827257431443808
01005	-0.27403024539521503
01030	-0.32343728982665404
01031	-0.4123699698032442
01032	-0.4123699698032442
01033	-0.4024885609169564
02162	-0.4024885609169564
35771	-0.4024885609169564
85602	-0.26414883650892723
35772	-0.3629629253718052
35773	-0.4024885609169564
85603	-0.29379306316779064
22546	-0.3827257431443808
01039	-0.3926071520306686
01038	-0.4024885609169564
02169	2.502645651651657
01035	-0.17521615653233702
01034	-0.4123699698032442
01036	-0.4123699698032442
02152	-0.2048603831912004
02155	1.4354534919325743
02154	-0.4123699698032442
01020	0.2398030166917506
02151	0.2101587900328872
02150	0.2990914700094774
85607	-0.25426742762263943
35761	-0.4024885609169564
85610	-0.3827257431443808
35763	-0.27403024539521503
85613	-0.4123699698032442
35765	-0.4123699698032442
85614	0.1409889278288726
85615	-0.4123699698032442
85616	-0.4024885609169564
35768	0.1607517456014482
35769	-0.4024885609169564
22539	-0.4024885609169564
01028	0.1805145633740238
01027	-0.11592770321461021
02159	-0.4123699698032442
74454	-0.4123699698032442
74451	-0.4024885609169564
74450	-0.4123699698032442
38544	-0.4024885609169564
82240	-0.2147417920774882
67410	-0.15545333875976142
68028	-0.29379306316779064
38549	-0.3432001075992296
68025	0.6548221899158382
68023	-0.4024885609169564
68022	0.0322934300797068
68020	-0.4123699698032442
76908	-0.4123699698032442
74464	0.96114586539076
74465	-0.4123699698032442
74462	-0.2443860187363516
74461	-0.4123699698032442
31439	-0.4123699698032442
67402	-0.4123699698032442
67401	1.998693798450979
74467	-0.18509756541862482
68015	-0.4123699698032442
74469	-0.4123699698032442
68010	-0.29379306316779064
82225	-0.4123699698032442
31401	-0.2345046098500638
74432	-0.28391165428150283
74437	-0.27403024539521503
31405	3.4710237225078613
68005	-0.0467578410105956
31404	2.235847611721886
24751	-0.4123699698032442
74435	-0.4024885609169564
31403	-0.4123699698032442
